Cube Number,Solve Time (ms),Number of Moves
827,0.584,159
828,0.5463,162
829,0.544,169
830,0.698,220
831,0.6487,207
832,0.6465,239
833,0.7719,176
834,0.697,227
835,0.4726,188
836,0.6667,237
837,0.5763,145
838,0.7576,227
839,0.6473,209
840,0.6625,185
841,0.577,172
842,0.5862,187
843,0.5604,159
844,0.603,187
845,0.5311,250
846,0.5812,202
847,0.6801,224
848,0.6749,192
849,0.5067,142
850,0.6094,204
851,0.6128,180
852,0.526,142
853,0.688,217
854,0.6998,224
855,0.6406,233
856,0.5354,172
857,0.5769,190
858,0.6661,213
859,0.3927,154
860,0.8051,253
861,0.6436,182
862,0.606,191
863,0.6313,194
864,0.5546,153
865,0.875,203
866,0.6467,185
867,0.6836,223
868,0.74,230
869,0.5156,144
870,0.514,163
871,0.549,192
872,0.5657,191
873,0.5629,176
874,0.6619,194
875,0.5347,176
876,0.5938,189
877,0.6928,205
878,0.5266,233
879,0.6455,198
880,0.731,222
881,0.6659,164
882,0.6523,206
883,0.7248,202
884,0.5985,178
885,0.6074,161
886,0.5893,170
887,0.7551,241
888,0.5282,151
889,0.5406,183
890,0.7049,188
891,0.6225,193
892,0.5779,164
893,0.5639,188
894,0.642,205
895,0.5769,186
896,0.5775,251
897,0.6945,226
898,0.6774,170
899,0.56,185
900,0.5809,222
901,0.6567,183
902,0.6117,182
903,0.5698,183
904,0.5619,179
905,0.544,163
906,0.5746,214
907,0.6886,208
908,0.6664,213
909,0.5786,212
910,0.8066,263
911,0.6325,194
912,0.5959,180
913,0.5549,195
914,0.4794,202
915,0.4693,181
916,0.6342,194
917,0.4995,208
918,0.5756,165
919,0.6648,196
920,0.5682,201
921,0.6333,193
922,0.6399,204
923,0.7371,223
924,0.6073,186
925,0.5899,198
926,0.6076,178
927,0.4904,212
928,0.6077,187
929,0.6542,186
930,0.6227,168
931,0.6399,200
932,0.7192,201
933,0.6811,203
934,0.5923,151
935,0.6349,192
936,0.5182,188
937,0.6321,191
938,0.6232,166
939,0.5666,224
940,0.5559,212
941,0.6664,189
942,0.5434,193
943,0.6228,190
944,0.7276,225
945,0.5678,210
946,0.5646,154
947,0.6127,207
948,0.6948,184
949,0.8259,198
950,0.5371,152
951,0.5329,151
952,0.6065,183
953,0.5908,180
954,0.6644,205
955,0.5284,241
956,0.5498,190
957,0.6843,193
958,0.6219,193
959,0.695,228
960,0.6381,176
961,0.6587,201
962,0.8312,279
963,0.6374,159
964,0.5497,253
965,0.6264,188
966,0.7698,208
967,0.5704,167
968,0.5682,153
969,0.5711,159
970,0.6502,196
971,0.6215,209
972,0.674,211
973,0.6147,201
974,0.7166,241
975,0.6354,207
976,0.7562,196
977,0.6247,201
978,0.4902,152
979,0.6517,200
980,0.5679,170
981,0.5408,202
982,0.6484,210
983,0.5561,179
984,0.4682,169
985,0.5688,170
986,0.6275,222
987,0.5427,183
988,0.6468,231
989,0.7456,227
990,0.7002,178
991,0.717,216
992,0.6347,180
993,0.5618,144
994,0.6003,199
995,0.5589,189
996,0.5178,198
997,0.6797,250
998,0.4983,169
999,0.7341,216
